2020-02-16/16:35:37		 phising_08012020_120000.csv: Quotes added successfully!!
2020-02-16/17:27:46		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/00:57:24		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/12:43:39		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/12:48:19		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/12:48:23		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/12:55:16		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/12:58:23		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/12:59:54		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/13:00:45		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/13:19:00		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/13:20:26		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/13:24:55		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/13:26:27		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/13:54:33		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/13:56:37		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/13:58:09		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/14:02:27		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/14:07:58		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/14:11:54		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/14:13:59		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/14:18:55		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/14:18:56		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/14:24:54		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/14:29:18		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/14:33:09		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/14:42:23		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/14:43:53		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/15:10:13		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/15:16:11		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/15:19:15		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/15:22:10		 phising_08012020_120000.csv: Quotes added successfully!!
2022-02-11/15:23:44		 phising_08012020_120000.csv: Quotes added successfully!!
